NSCE  Elapsed_Time  RainFact    Ksat    WM    B    IM    KE    coeM    expM    coeR    coeS    KS    KI  
-4.198084e-01:  38.5625   0.994162  157.154399  237.898070  1.163316  0.502875  0.225783  101.287647  0.605995  0.869170  0.849045  1.979901  2.033900 
-2.044931e-01:  40.2344   1.360545  54.588696  197.302340  5.092072  0.325967  0.372702  41.192133  0.414351  0.596071  3.044207  1.418139  0.077597 
-1.573639e+00:  39.7813   1.090449  104.040456  459.996176  2.143130  2.164410  1.082809  47.457556  0.722598  1.179378  0.644127  1.981572  1.953447 
-1.062020e+00:  39.7500   1.034399  151.833221  120.217702  3.953840  1.299349  1.257425  148.885820  0.952290  0.936000  1.951821  1.917165  2.952201 
1.564134e-01:  40.6094   1.272909  126.211997  240.787741  2.616090  3.126824  1.074051  9.935575  0.225744  1.027634  2.546732  0.044114  1.239438 
-4.692467e-01:  39.2031   0.878829  184.773757  293.884395  3.652513  0.232426  1.055010  54.410479  0.302393  1.483560  0.926980  1.987927  1.678715 
-3.818310e-01:  39.8125   0.945995  144.822509  261.000436  1.691939  1.372062  0.478957  90.507749  0.884187  1.129288  1.760997  1.202370  1.158851 
-3.054354e-01:  39.4375   0.862673  148.699060  216.146772  2.040529  0.997597  0.864349  107.150999  0.494496  1.219839  1.716834  0.399138  2.619501 
-4.474101e-01:  39.5156   0.882444  22.511030  120.794724  5.802718  0.129649  0.981442  55.371653  0.922603  0.871541  1.164907  1.474462  1.523878 
-6.134339e-01:  40.6406   1.289448  159.216265  447.927355  5.576659  1.485676  0.317941  105.239459  1.058883  0.778406  2.108019  1.079096  2.019415 
-3.660318e-01:  39.6719   0.699008  87.601977  158.905770  5.332386  0.747841  1.155556  53.156496  0.403394  1.055512  1.570816  1.083280  0.800126 
-7.269829e-01:  40.7656   1.269713  108.537053  100.358884  4.199550  0.331374  0.509641  78.958861  0.812078  0.995238  3.188375  1.877036  1.936854 
-1.875716e+00:  40.9375   1.134347  176.121427  74.883777  5.023796  3.557198  0.487648  136.509718  0.278280  1.157822  0.474820  0.548025  3.943780 
-3.905879e-01:  40.4531   0.838854  87.745879  193.640710  1.773145  0.995242  0.449601  67.366001  0.466778  0.926628  1.306327  1.254592  1.179124 
-5.366647e-02:  40.7344   0.722672  120.528760  133.385656  3.326942  2.245537  0.598723  77.655867  0.223824  1.334714  2.144580  0.325651  0.150804 
-3.754246e-01:  40.6250   0.884132  80.240549  379.865968  2.710818  2.202334  0.899235  103.062817  0.839934  1.129267  1.619711  0.955082  2.019885 
-3.222633e-01:  40.1094   0.926164  79.117039  304.671651  2.841085  1.072434  0.706556  81.084271  0.866243  1.040434  2.023374  0.905899  1.283589 
-4.662371e-01:  41.6094   1.173932  92.935489  272.112270  3.796133  0.303578  0.243667  50.006500  0.617747  0.932065  1.888642  1.076472  2.011419 
-5.705617e-02:  41.1563   0.805611  159.835204  61.608007  1.744502  3.547983  0.292704  70.562857  1.051971  0.955263  1.497825  0.403884  3.276201 
-4.426932e-01:  40.5313   0.642639  136.132972  486.154785  1.402844  0.988980  0.969655  65.391223  0.725224  1.211039  2.383346  1.316262  3.302764 
-3.776625e-01:  41.6875   1.290680  9.539894  450.548151  2.149443  0.210563  0.908525  55.078986  0.994705  0.770890  1.148342  1.166505  0.883038 
-3.128082e-01:  40.8281   0.927536  134.474193  347.398459  3.667472  1.664615  0.648088  96.090484  0.777971  0.824216  1.306656  0.744964  2.369792 
-3.945959e-01:  39.7500   0.608850  146.364747  440.135757  1.186759  3.371245  1.119482  6.369736  0.355696  0.892984  1.896673  1.009488  2.537829 
-3.598689e-01:  40.2031   0.813777  56.287870  260.249744  4.138059  1.303876  1.019473  121.788078  0.706500  1.069519  1.597309  1.002627  1.447171 
-2.779098e-01:  40.6406   1.163002  40.736830  438.464209  2.018407  0.615831  0.610147  88.623106  0.439823  0.751258  0.454465  0.594995  1.022345 
8.491982e-02:  39.8750   1.022171  43.362178  153.937548  4.418927  2.072595  0.637374  69.876708  0.983165  0.652643  2.617809  0.383635  0.377168 
-4.132186e-01:  40.3438   0.688893  143.104934  121.880575  2.169261  0.227600  0.150364  48.755970  0.348493  0.710002  0.368704  0.084130  0.973525 
